Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
SAMPANN,EQ,32.97,-1.35,133.89,0.26,0.09
WORTH,EQ,149,-1.16,234.69,0.06,0.09
LAMOSAIC,ST,41.15,-1.56,42.54,0.2,0.08
875NHAI29,N6,1157,-1.53,1376.61,0.01,0.08
TOUCHWOOD,BE,81,-1.89,89.76,0.1,0.08
BESTAGRO,BE,335,-1.5,792.1,0.02,0.08
SPECTSTM,SM,125.1,-2.95,288.89,0.06,0.08
76NHAI31,NA,1126.1,-0.26,3012.61,0.01,0.08
DJML,EQ,112.76,-1.27,366.28,0.07,0.08
DELTIC,ST,70,-1.41,107.03,0.11,0.08
LYPSAGEMS,EQ,6.8,-3.82,20.05,1.09,0.08
QUESTLAB,ST,104,-2.71,170.43,0.07,0.08
BANARBEADS,EQ,127.3,-0.2,84.48,0.06,0.08
ACEINTEG,EQ,26.5,-4.16,27.03,0.28,0.08
ARABIAN,SM,76.45,-0.39,83.27,0.1,0.07
HBSL,EQ,82.2,-1.34,58.67,0.09,0.07
MEGAFLEX,SM,61.3,-4.96,68.06,0.12,0.07
SBIETFQLTY,EQ,222.55,-0.03,114.75,0.03,0.07
PULZ,SM,59,-4.92,128.67,0.12,0.07
NAMAN,ST,90.7,-2,118.51,0.08,0.07
ONDOOR,ST,159.7,-5,90.21,0.04,0.07
JEYYAM,SM,34.85,-2.38,165.53,0.2,0.07
ESG,EQ,42.21,-0.28,122.47,0.17,0.07
HECPROJECT,EQ,119.3,-0.87,129.3,0.06,0.07
TCL,SM,96.95,-0.92,224.24,0.07,0.07
PARASPETRO,EQ,2.74,-1.44,91.58,2.48,0.07
NARMADA,EQ,17.7,-0.56,67.15,0.39,0.07
MALUPAPER,EQ,40.11,-0.4,68.42,0.17,0.07
753IRFC30,NJ,1134.01,-0.09,1218.17,0.01,0.07
NGIL,EQ,29.26,-0.91,37.23,0.23,0.07
SATIPOLY,ST,89,-0.06,44.03,0.07,0.07
LEXUS,EQ,31.4,-0.76,63.4,0.22,0.07
KALANA,SM,48.2,-0.1,62.85,0.14,0.07
KONTOR,ST,85.3,-1.95,52.72,0.08,0.07
SHIVAMILLS,EQ,78.11,-0.43,67.5,0.08,0.07
DAMODARIND,EQ,34.5,-2.16,80.39,0.18,0.06
ABHAPOWER,ST,30.6,-4.23,56.88,0.21,0.06
ASIANHOTNR,BE,357.5,-1.27,695.45,0.02,0.06
VINNY,BE,1.58,-2.47,73.51,4.02,0.06
HPTL,SM,131,-1.13,156.08,0.05,0.06
VR,SM,200,-0.02,177.6,0.03,0.06
ZENITHDRUG,ST,80,-1.11,137.19,0.08,0.06
MID150,EQ,21.14,-0.38,0.91,0.3,0.06
CINEVISTA,EQ,15.29,-4.26,87.82,0.38,0.06
IDENTICAL,SM,49.7,-3.02,69.71,0.12,0.06
XELPMOC,BE,100.1,-0.6,147.35,0.06,0.06
QNIFTY,EQ,2696,-0.52,69.87,0,0.06
KHFM,SM,78.95,-2.29,170.79,0.08,0.06
ELGIRUBCO,BE,65.66,-2.01,328.63,0.09,0.06
MHHL,SM,61,-4.31,111.24,0.09,0.06
BAFNAPH,BE,75.66,-1.59,178.98,0.07,0.06
764HUDCO31,N8,1113.66,-1,0,0.01,0.06
812REC27,NI,1111.1,-0.34,0,0.01,0.06
INSPIRE,SM,21.85,-2.67,29.74,0.24,0.05
AHLEAST,EQ,140.02,-0.31,242.12,0.04,0.05
SYLVANPLY,SM,85,-1.73,164.69,0.06,0.05
